rank,feature,importance,中文名称,中文备注
1,win4_z_max,1.3845957247629563,第4窗口最大稳健归一化幅值,第4个相对距离窗口内的最大稳健归一化幅值，反映偏后段回波强反射，可能对应液面、容器背面或多路径回波变化。
2,peak_top2_prominence,1.2230197916627012,第二强峰显著性,第二强峰的峰显著性，说明模型重视次峰结构，不是只看最大峰。
3,cfar_corr_data,1.2093204056821423,回波与CFAR相关性,原始回波曲线与CFAR阈值曲线的相关性，反映目标回波与背景/阈值结构之间的整体关系。
4,win4_peak_count,1.149496703952998,第4窗口显著峰数量,第4窗口内显著峰数量，反映后段多峰、多路径结构变化。
5,distnorm_raw_rms_times_r2,1.1435109364209768,距离校正RMS能量,按距离平方校正后的原始RMS能量，用于降低距离变化对幅值的影响。
6,spec_energy_0.05_0.12,1.050091961,中低频能量占比,归一化频谱中0.05-0.12频段能量占比，反映波形振荡和结构复杂度。
7,spec_energy_0.25_0.50,1.0136372645944554,高频能量占比,高频段能量占比，可能反映尖峰、噪声、界面突变或复杂多峰结构。
8,peak_top5_idx_rel,1.0060064701220455,第五强峰相对位置,第五强峰的相对位置，说明弱峰或远端峰的位置也参与判别。
9,peak_top1_top2_gap_rel,0.9573168685860729,主峰次峰相对间距,第一强峰与第二强峰之间的相对距离，反映主峰和次峰的多路径间隔。
10,win2_peak_count,0.9553775974296284,第2窗口显著峰数量,第2窗口内显著峰数量，反映前中段回波复杂度。
11,win5_z_max,0.9363661948297298,第5窗口最大稳健归一化幅值,第5个相对距离窗口的最大稳健归一化幅值，反映最靠后区域的强回波。
12,distnorm_raw_max_times_r2,0.891440645,距离校正最大幅值,按距离平方校正后的最大原始幅值，兼顾峰值和距离归一化。
13,win2_z_max,0.8823621447487775,第2窗口最大稳健归一化幅值,第2窗口内最大稳健归一化幅值，反映前中段界面回波强度。
14,peak_top2_to_top1_ratio,0.8393880096916975,第二强峰/第一强峰比例,第二强峰与第一强峰的相对比例，反映是否存在明显次峰或多界面反射。
15,peak_top_spacing_std_rel,0.7893750572117986,强峰间距离散度,多个强峰之间相对间距的离散程度，反映多峰结构是否稳定或规律。
16,peak_top5_z,0.7721596340769585,第五强峰稳健归一化幅值,第五强峰的稳健归一化幅值，说明弱峰幅度也有判别价值。
17,win2_raw_max,0.7352957032386745,第2窗口原始最大幅值,第2窗口原始最大幅值，补充前中段绝对回波强度信息。
18,z_p98,0.7023800916633844,稳健归一化98分位值,全波形稳健归一化后的98分位值，比单一最大峰更稳定地描述高幅值尾部。
19,distnorm_cfar_margin_times_r2,0.6919972242874836,距离校正CFAR裕量,按距离平方校正后的data-CFAR最大裕量，反映目标峰相对阈值的强度。
20,spec_energy_0.00_0.05,0.6675796922508299,低频能量占比,低频段能量占比，反映整体缓慢变化趋势和宽峰结构。
